File name:	MYC012	
Date:	4/3/1990	
UTM Grid Zone:	10S	
"UTM-X, m:"	612263	
"UTM-Y, m:"	4085072	
Datum:	1927 NAD	
"Elevation, m:"	9.0	 
"Total depth, m:"	12.4	
"Water depth, m:"	4.6	 
City:	CMF012                  	
County:	Monterey	
State:	CA	
USGS Quadrangle:	Watsonville East	
Cone No.:	329	
Source:	USGS	
"Surface horiz. offset (seismic source to CPT), m:  NO TESTS"		

Depth (m)	Tip Resistance (MN/m2)	Sleeve Friction (kN/m2)	Inclination (degree)	S-wave travel time (ms)
0.4	2.70	10.70	0	
0.5	2.10	2.70	0	
0.6	1.60	2.70	0	
0.7	1.60	10.70	0	
0.8	0.80	9.10	0	
0.9	0.60	17.80	0	
1	0.60	20.10	0	
1.1	0.70	23.50	0	
1.2	0.50	18.50	0	
1.3	0.50	15.40	0	
1.4	0.50	17.10	0	
1.5	0.70	13.80	0	
1.6	0.40	10.70	0	
1.7	0.40	1.00	0	
1.8	0.60	18.80	0
1.9	0.90	45.00	0
2	0.90	45.30	0
2.1	0.90	37.30	0
2.2	1.00	46.30	0
2.3	1.30	68.50	0
2.4	1.80	133.90	0
2.5	1.90	127.20	0
2.6	1.80	151.40	0
2.7	1.30	102.40	0
2.8	0.90	59.40	0
2.9	1.10	55.40	0
3	1.30	87.90	0
3.1	1.30	71.80	0
3.2	1.70	113.10	0
3.3	1.90	120.50	0
3.4	1.50	98.30	0
3.5	1.30	94.00	0
3.6	0.80	46.00	0
3.7	0.50	8.10	0
3.8	0.50	-1.00	0
3.9	0.50	-0.70	0
4	0.50	0.00	0
4.1	0.60	-0.70	0
4.2	0.80	53.00	0
4.3	1.00	39.60	0
4.4	1.00	37.90	0
4.5	1.40	29.50	0
4.6	1.00	24.20	0
4.7	0.80	19.10	0
4.8	0.80	35.90	0
4.9	1.60	39.90	0
5	1.10	34.20	0
5.1	0.70	13.40	0
5.2	0.80	26.50	0
5.3	0.60	4.70	0
5.4	0.60	3.70	0
5.5	0.90	32.90	0
5.6	1.00	40.30	0
5.7	1.10	49.70	0
5.8	1.30	66.50	0
5.9	1.10	62.80	0
6	1.90	61.40	0
6.1	2.50	56.40	0
6.2	1.80	41.30	0
6.3	1.10	30.20	0
6.4	0.90	23.20	0
6.5	0.80	12.80	0
6.6	1.00	41.60	0
6.7	1.30	20.80	0
6.8	3.70	19.80	0
6.9	2.60	23.50	0
7	0.90	4.00	0
7.1	1.00	66.80	0
7.2	1.00	11.40	0
7.3	0.90	14.80	0
7.4	1.30	46.30	0
7.5	1.10	34.90	0
7.6	1.00	34.60	0
7.7	0.90	41.60	0
7.8	1.00	40.30	0
7.9	1.30	58.40	0
8	1.60	82.60	0
8.1	1.70	88.60	0
8.2	1.20	51.70	0
8.3	1.50	71.80	0
8.4	1.40	80.60	0
8.5	1.10	43.00	0
8.6	1.10	27.50	0
8.7	1.00	35.20	0
8.8	0.90	26.20	0
8.9	0.90	9.40	0
9	1.00	6.00	0
9.1	1.10	32.90	0
9.2	1.20	21.50	0
9.3	1.20	14.10	0
9.4	1.10	16.40	0
9.5	1.00	7.40	0
9.6	0.80	9.40	0
9.7	0.90	-1.30	0
9.8	0.90	2.00	0
9.9	0.90	0.00	0
10	0.90	20.10	0
10.1	2.80	26.20	0
10.2	1.30	27.50	0
10.3	0.90	9.40	0
10.4	0.90	3.00	0
10.5	0.90	4.70	0
10.6	2.10	39.60	0
10.7	1.60	42.00	0
10.8	2.70	57.70	0
10.9	3.20	71.50	0
11	4.70	61.80	0
11.1	5.10	90.60	0
11.2	4.20	100.40	0
11.3	4.70	106.80	0
11.4	6.20	102.70	0
11.5	4.30	80.60	0
11.6	3.60	120.90	0
11.7	4.80	145.00	0
11.8	5.50	151.10	0
11.9	5.90	71.50	0
12	4.00	133.30	0
12.1	4.20	125.60	0
12.2	13.40	-32000	0
